city,state,latitude,longitude,source
BRECKENRIDGE,TX,32.756751,-98.912985,census
BREEZEWOOD,PA,39.999012,-78.240422,nominatim
BREMEN,GA,33.710765,-85.151897,census
BRENHAM,TX,30.158160,-96.395616,census
BRENT,AL,32.944893,-87.172088,census
BREWERTON,NY,43.232432,-76.144820,census
BREWTON,AL,31.109175,-87.076583,census
BRIDGEPORT,CT,41.187393,-73.195757,census
BRIDGEPORT,MI,43.370815,-83.881964,census
BRIDGEPORT,TX,33.210449,-97.772466,census
BRIDGETON,MO,38.773317,-90.416997,census
BRIDGEVIEW,IL,41.740281,-87.806644,census
BRIDGEVILLE,DE,38.725204,-75.602850,census
BRIDGEWATER,MA,41.990221,-70.975443,nominatim
BRIDGMAN,MI,41.935169,-86.567110,census
BRIGHAM CITY,UT,41.505904,-112.051418,census
BRIGHTON,CO,39.965699,-104.794170,census
BRIGHTON,IL,39.040863,-90.140041,census
BRILLION,WI,44.173510,-88.067823,census
BRINKLEY,AR,34.889781,-91.189819,census
BRISTOL,IN,41.718574,-85.824653,census
BRISTOL,TN,36.558549,-82.217001,census
BRISTOL,VA,36.616954,-82.157564,census
BRISTOL,WI,42.532323,-88.009098,census
BROADVIEW HEIGHTS,OH,41.318156,-81.679262,census
BROADWAY,VA,38.608485,-78.801366,census
BRODHEAD,WI,42.616836,-89.375604,census
BROGUE,PA,39.872355,-76.484639,nominatim
BROKEN ARROW,OK,36.036529,-95.780996,census
BROKEN BOW,NE,41.405188,-99.640758,census
BROKEN BOW,OK,34.028862,-94.741357,census
BRONTE,TX,31.886052,-100.295123,census
BRONX,NY,40.846651,-73.878594,nominatim
BROOKFIELD,MO,39.785329,-93.077967,census
BROOKHAVEN,MS,31.580567,-90.443386,census
BROOKINGS,SD,44.303364,-96.787339,census
BROOKLYN,IA,41.732052,-92.444981,census
BROOKSVILLE,FL,28.516578,-82.404665,census
BROOKVILLE,OH,39.839533,-84.417347,census
BROOKVILLE,PA,41.161676,-79.082652,census
BROUSSARD,LA,30.140831,-91.956060,census
BROWNFIELD,TX,33.175514,-102.273429,census
BROWNSVILLE,TX,25.995689,-97.450848,census
BROWNSVILLE,WI,43.614608,-88.495215,census
BROWNVILLE,ME,45.349966,-69.051385,nominatim
BROWNWOOD,TX,31.712856,-98.977053,census
BRUCETON MILLS,WV,39.659396,-79.640606,census
BRUNDIDGE,AL,31.717639,-85.817550,census
BRUNSWICK,GA,31.136149,-81.466936,census
BRUSH,CO,40.259263,-103.636334,census
BRYAN,TX,30.666016,-96.381049,census
BRYANT,AR,34.615059,-92.491338,census
BUCKATUNNA,MS,31.553199,-88.534283,census
BUCKEYE,AZ,33.431573,-112.641626,census
BUCKHANNON,WV,38.992734,-80.228243,census
BUCYRUS,OH,40.805119,-82.971632,census
BUDA,TX,30.080402,-97.855700,census
BUDD LAKE,NJ,40.873494,-74.736828,census
BUENA VISTA,GA,32.318481,-84.517564,census
BUFFALO,MN,45.179510,-93.863995,census
BUFFALO,NY,42.892492,-78.859686,census
BUFFALO,TX,31.458905,-96.066163,census
BUFFALO,WY,44.338545,-106.715344,census
BULLS GAP,TN,36.261636,-83.078843,census
BUNA,TX,30.442708,-93.960657,census
BUNKER HILL,KS,38.875298,-98.698938,census
BUNKIE,LA,30.953661,-92.188111,census
BURBANK,IL,41.744420,-87.768505,census
BURBANK,OH,40.986232,-81.994840,census
BURBANK,SD,42.746080,-96.832718,census
BURGAW,NC,34.551466,-77.923012,census
BURLINGTON,CO,39.304171,-102.271466,census
BURLINGTON,NJ,40.078824,-74.852483,census
BURLINGTON,WI,42.675249,-88.271871,census
BURNET,TX,30.750600,-98.238227,census
BURNS,WY,41.190871,-104.359035,census
BURTON,MI,43.000745,-83.618151,census
BURWELL,NE,41.780044,-99.134214,census
BUSHNELL,FL,28.686946,-82.114406,census
BUTLER,IN,41.427148,-84.872266,census
BUTLER,WI,43.108448,-88.072232,census
BUTTE,MT,45.896232,-112.660071,census
BYHALIA,MS,34.869188,-89.689993,census
BYRAM,MS,32.192137,-90.286965,census
BYRON,GA,32.649497,-83.747954,census
BYRON,MN,44.038121,-92.641010,census
BYRON CENTER,MI,42.809460,-85.726365,census
CABOOL,MO,37.126482,-92.103217,census
CABOT,AR,34.975106,-92.028288,census
CADDO MILLS,TX,33.074542,-96.226922,census
CADILLAC,MI,44.251327,-85.413986,census
